Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Geo_Location,Region,Collection_Date
KR347419.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-128,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347420.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-131,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347421.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-137,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347422.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-139,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347423.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-140,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347424.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-141,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347425.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-145,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347426.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-146,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347427.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-148,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347428.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-149,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347429.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-151,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347430.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-155,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347431.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-157,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347432.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-159,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347433.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-161,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347434.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-162,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347435.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-163,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347436.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-167,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347437.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-168,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347438.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-176,Orthoflavivirus denguei,1479,China,Yunnan,2013
KM651768.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-09
KM651769.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-09
KM651770.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-09
KM651771.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-09
KM651772.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-09
KM651773.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-10
KM651774.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-10
KM651775.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-10
KM651776.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-10
KM651777.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-10
KM651778.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-10
KM651779.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-10
KM651780.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-10
KM651781.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-11
KM651782.1,Dengue virus type 3,"Guo,X., Yang,H., Wu,C., Jiang,J., Fan,J., Li,H., Zhu,J., Yang,Z., Li,Y., Zhou,H., Zhang,J., Guo,F.X., Yang,H.Z., Yang,L.H., Jiang,Y.J., Fan,H.J., Li,B.H., Li,Y.Y., Zhou,N.H.","Yunnan Institude of Parasites Diseases, Division of Arbovirus Diseases Control",China,23/08/2015,,Orthoflavivirus denguei,1479,China,Yunnan,2013-11
KP780169.1,Dengue virus,"Shen,S.Q., Wei,H.X., Fu,Y.H., Zhang,H., Mo,Q.Y., Wang,X.J., Deng,S.Q., Zhao,W., Liu,Y., Feng,X.S., Chen,W., Peng,H.J., Peng,H.-J., Wei,H.-X., Sheng,S.-Q.","Southern Medical University, Department of Pathogen Biology, School of Public Health and Tropical Medicine",,08/08/2015,#8,Orthoflavivirus denguei,1485,China,Guangdong,30/09/2014
KP780170.1,Dengue virus,"Shen,S.Q., Wei,H.X., Fu,Y.H., Zhang,H., Mo,Q.Y., Wang,X.J., Deng,S.Q., Zhao,W., Liu,Y., Feng,X.S., Chen,W., Peng,H.J., Peng,H.-J., Wei,H.-X., Sheng,S.-Q.","Southern Medical University, Department of Pathogen Biology, School of Public Health and Tropical Medicine",,08/08/2015,#11,Orthoflavivirus denguei,1485,China,Guangdong,30/09/2014
KP780171.1,Dengue virus,"Shen,S.Q., Wei,H.X., Fu,Y.H., Zhang,H., Mo,Q.Y., Wang,X.J., Deng,S.Q., Zhao,W., Liu,Y., Feng,X.S., Chen,W., Peng,H.J., Peng,H.-J., Wei,H.-X., Sheng,S.-Q.","Southern Medical University, Department of Pathogen Biology, School of Public Health and Tropical Medicine",,08/08/2015,#42,Orthoflavivirus denguei,1485,China,Guangdong,30/09/2014
KP780172.1,Dengue virus,"Shen,S.Q., Wei,H.X., Fu,Y.H., Zhang,H., Mo,Q.Y., Wang,X.J., Deng,S.Q., Zhao,W., Liu,Y., Feng,X.S., Chen,W., Peng,H.J., Peng,H.-J., Wei,H.-X., Sheng,S.-Q.","Southern Medical University, Department of Pathogen Biology, School of Public Health and Tropical Medicine",,08/08/2015,#39,Orthoflavivirus denguei,1021,China,Guangdong,30/09/2014
KR028435.1,dengue virus type I,"Zhao,W., Yu,J., Xie,Q., Wang,P., Lu,W., Qin,Z., Zhang,M., Cao,G., Zhang,B., Wang,H., Yao,Z., Zhong,Z.","School of Public Health, Southern Medical University, Biological Safety Protection Third-Level Laboratory",China,27/07/2015,DENV-1/GZ/ZW-0802/2014,Orthoflavivirus denguei,10672,China: Guangzhou,Guangdong,2014-10
KP749477.1,dengue virus type I,"Yang,L., Chen,Y., Ren,W.R., Zhang,P., Yan,C.H.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,22/07/2015,GZ201408NS1,Orthoflavivirus denguei,1056,China,Guangdong,2014
KP749478.1,dengue virus type I,"Yang,L., Chen,Y., Ren,W.R., Zhang,P., Yan,C.H.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,22/07/2015,GZ201409NS1,Orthoflavivirus denguei,1056,China,Guangdong,2014
KP749479.1,dengue virus type I,"Yang,L., Chen,Y., Ren,W.R., Zhang,P., Yan,C.H.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,22/07/2015,GZ2014010NS1,Orthoflavivirus denguei,1056,China,Guangdong,2014
KP749480.1,dengue virus type I,"Yang,L., Chen,Y., Ren,W.R., Zhang,P., Yan,C.H.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,22/07/2015,GZ201404NS1,Orthoflavivirus denguei,1056,China,Guangdong,2014
KP749481.1,dengue virus type I,"Yang,L., Chen,Y., Ren,W.R., Zhang,P., Yan,C.H.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,22/07/2015,GZ201403NS1,Orthoflavivirus denguei,1056,China,Guangdong,2014
KP749482.1,dengue virus type I,"Yang,L., Chen,Y., Ren,W.R., Zhang,P., Yan,C.H.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,22/07/2015,GZ201405NS1,Orthoflavivirus denguei,1056,China,Guangdong,2014
KP749483.1,dengue virus type I,"Yang,L., Chen,Y., Ren,W.R., Zhang,P., Yan,C.H.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,22/07/2015,GZ201406NS1,Orthoflavivirus denguei,1056,China,Guangdong,2014
KP749484.1,dengue virus type I,"Yang,L., Chen,Y., Ren,W.R., Zhang,P., Yan,C.H.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,22/07/2015,GZ201407NS1,Orthoflavivirus denguei,1056,China,Guangdong,2014
KP723473.1,dengue virus type I,"Zhao,H., Zhang,F.C., Zhu,Q., Wang,J., Hong,W.X., Zhao,L.Z., Deng,Y.Q., Qiu,S., Zhang,Y., Cai,W.P., Cao,W.C., Qin,C.F., Zhao,L.-Z., Jiang,T., Hong,W.-X., Li,X.-F., Deng,Y.-Q., Zhu,S.-Y., Qin,E.-D., Qin,C.-F., Zhang,F.-C.","Beijing Institute of Microbiology and Epidemiology, Department of Virology",China,21/07/2015,DENV1/CN/GZ27/2014,Orthoflavivirus denguei,10630,China: Guangdong,Guangdong,2014
KP723474.1,dengue virus type I,"Zhao,H., Zhang,F.C., Zhu,Q., Wang,J., Hong,W.X., Zhao,L.Z., Deng,Y.Q., Qiu,S., Zhang,Y., Cai,W.P., Cao,W.C., Qin,C.F., Zhao,L.-Z., Jiang,T., Hong,W.-X., Li,X.-F., Deng,Y.-Q., Zhu,S.-Y., Qin,E.-D., Qin,C.-F., Zhang,F.-C.","Beijing Institute of Microbiology and Epidemiology, Department of Virology",China,21/07/2015,DENV1/CN/GZ32/2014,Orthoflavivirus denguei,1485,China: Guangdong,Guangdong,2014
KP723475.1,dengue virus type I,"Zhao,H., Zhang,F.C., Zhu,Q., Wang,J., Hong,W.X., Zhao,L.Z., Deng,Y.Q., Qiu,S., Zhang,Y., Cai,W.P., Cao,W.C., Qin,C.F., Zhao,L.-Z., Jiang,T., Hong,W.-X., Li,X.-F., Deng,Y.-Q., Zhu,S.-Y., Qin,E.-D., Qin,C.-F., Zhang,F.-C.","Beijing Institute of Microbiology and Epidemiology, Department of Virology",China,21/07/2015,DENV1/CN/GZ33/2014,Orthoflavivirus denguei,1485,China: Guangdong,Guangdong,2014
KP723476.1,dengue virus type I,"Zhao,H., Zhang,F.C., Zhu,Q., Wang,J., Hong,W.X., Zhao,L.Z., Deng,Y.Q., Qiu,S., Zhang,Y., Cai,W.P., Cao,W.C., Qin,C.F., Zhao,L.-Z., Jiang,T., Hong,W.-X., Li,X.-F., Deng,Y.-Q., Zhu,S.-Y., Qin,E.-D., Qin,C.-F., Zhang,F.-C.","Beijing Institute of Microbiology and Epidemiology, Department of Virology",China,21/07/2015,DENV1/CN/GZ35/2014,Orthoflavivirus denguei,10628,China: Guangdong,Guangdong,2014
KP723477.1,dengue virus type I,"Zhao,H., Zhang,F.C., Zhu,Q., Wang,J., Hong,W.X., Zhao,L.Z., Deng,Y.Q., Qiu,S., Zhang,Y., Cai,W.P., Cao,W.C., Qin,C.F., Zhao,L.-Z., Jiang,T., Hong,W.-X., Li,X.-F., Deng,Y.-Q., Zhu,S.-Y., Qin,E.-D., Qin,C.-F., Zhang,F.-C.","Beijing Institute of Microbiology and Epidemiology, Department of Virology",China,21/07/2015,DENV1/CN/GZ37/2014,Orthoflavivirus denguei,1485,China: Guangdong,Guangdong,2014
KP723478.1,Dengue virus type 2,"Zhao,H., Zhang,F.C., Zhu,Q., Wang,J., Hong,W.X., Zhao,L.Z., Deng,Y.Q., Qiu,S., Zhang,Y., Cai,W.P., Cao,W.C., Qin,C.F., Zhao,L.-Z., Jiang,T., Hong,W.-X., Li,X.-F., Deng,Y.-Q., Zhu,S.-Y., Qin,E.-D., Qin,C.-F., Zhang,F.-C.","Beijing Institute of Microbiology and Epidemiology, Department of Virology",China,21/07/2015,DENV2/CN/GZ25/2014,Orthoflavivirus denguei,10583,China: Guangdong,Guangdong,2014
KP723479.1,Dengue virus type 2,"Zhao,H., Yu,X.-D., Hong,W.-X., Yu,M., Jiang,T., Deng,Y.-Q., Zhu,S.-Y., Qin,E.-D., Qin,C.-F., Zhang,F.-C.","Beijing Institute of Microbiology and Epidemiology, Department of Virology",China,21/07/2015,DENV2/CN/GZ32/2010,Orthoflavivirus denguei,10723,China: Guangdong,Guangdong,2010
KP723480.1,Dengue virus type 4,"Zhao,H., Yu,X.-D., Hong,W.-X., Yu,M., Jiang,T., Deng,Y.-Q., Zhu,S.-Y., Qin,E.-D., Qin,C.-F., Zhang,F.-C.","Beijing Institute of Microbiology and Epidemiology, Department of Virology",China,21/07/2015,DENV4/CN/GZ09/2010,Orthoflavivirus denguei,1485,China: Guangdong,Guangdong,2010
KP723481.1,Dengue virus type 4,"Zhao,H., Yu,X.-D., Hong,W.-X., Yu,M., Jiang,T., Deng,Y.-Q., Zhu,S.-Y., Qin,E.-D., Qin,C.-F., Zhang,F.-C.","Beijing Institute of Microbiology and Epidemiology, Department of Virology",China,21/07/2015,DENV4/CN/GZ28/2010,Orthoflavivirus denguei,1485,China: Guangdong,Guangdong,2010
KP723482.1,Dengue virus type 4,"Zhao,H., Yu,X.-D., Hong,W.-X., Yu,M., Jiang,T., Deng,Y.-Q., Zhu,S.-Y., Qin,E.-D., Qin,C.-F., Zhang,F.-C.","Beijing Institute of Microbiology and Epidemiology, Department of Virology",China,21/07/2015,DENV4/CN/GZ29/2010,Orthoflavivirus denguei,10653,China: Guangdong,Guangdong,2010
KP686070.1,dengue virus type I,"Du,Y.","Henan Provincial Centers for Disease Control and Prevention, Institute for Infectious Disease Control and Prevention",China,30/06/2015,ww2014,Orthoflavivirus denguei,10670,China: Henan,Henan,22/10/2014
KR057903.1,dengue virus type I,"Yang,L., Wang,Z., Ren,R., Zhang,P., Yan,H., Chen,Y.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,10/06/2015,GZ2014011,Orthoflavivirus denguei,1123,China,Guangdong,2014
KR057904.1,dengue virus type I,"Yang,L., Wang,Z., Ren,R., Zhang,P., Yan,H., Chen,Y.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,10/06/2015,GZ2014012,Orthoflavivirus denguei,1285,China,Guangdong,2014
